            col_names                           labels              properties          units
t           Timestamp                           $t$                 time                undefined
T1          1-comp_inlet (°C)                   $T_1$               temperature         degC
T2          2-comp_outlet (°C)                  $T_2$               temperature         degC
T3          3a-gas_to_indr (°C)                 $T_3$               temperature         degC
T4          4-indr_coil_inlet (°C)              $T_4$               temperature         degC
T5          5a-indr_coil_mid (°C)               $T_5$               temperature         degC
T6          6-indr_coil_outlet (°C)             $T_6$               temperature         degC
T7          7-outdr_outlet (°C)                 $T_7$               temperature         degC
T8          8a-outdr_coil_mid (°C)              $T_8$               temperature         degC
T9          9-outdr_inlet (°C)                  $T_9$               temperature         degC
Ts          Indoor_Supply (°C)                  $T_s$               temperature         degC
Tr          Indoor_Return (°C)                  $T_r$               temperature         degC
Tin         indr_shed_amb (°C)                  $T_{in}$            temperature         degC
Tout        outdr_shed_amb (°C)                 $T_{out}$           temperature         degC
Tamb        Ambient Temp (°C)                   $T_{amb}$           temperature         degC
Tdtk        DTaker (°C)                         $T_{dt}$            temperature         degC
RHs         RH indr_supply (%)                  $\phi_{s}$          relative humidity   pct
RHr         RH indr_return (%)                  $\phi_{r}$          relative humidity   pct
RHout       RH_outdoor (%)                      $\phi_{out}$        relative humidity   pct
Tout_db     RH_temp_outdoor (°C)                $T_{db,out}$        temperature         degC
pin         Comp_Inlet_Pressure (kPa)           $p_{in}$            pressure            kPa
pout        Comp_Outlet_Pressure (kPa)          $p_{out}$           pressure            kPa
flowrt_r    Ref_Mass_Flow_Gas (g/s)             $\dot{m}_{ref}$     flow rate           g/s
refdir      Ref_Mass_Flow_Dir (State)           $\gamma_{ref}$      flow direction      -
Pa          Compressor Power Phase A (Watts)    $\dot{W}_A$         electrical power    W
Pb          Compressor Power Phase B (Watts)    $\dot{W}_B$         electrical power    W
Pfan_out    Outdoor Unit Fan Power (Watts)      $\dot{W}_{fan,o}$   electrical power    W
f           FREQ raw (Hz)                       $f$                 frequency           Hz
Pfan_in     Indoor Fan  (kW)                    $\dot{W}_{fan,i}$   electrical power    kW
#Pfan_in     Indoor Unit Fan Power (kW)          $\dot{W}_{fan,i}$   electrical power    kW
Ptot        Total Unit Power  (kW)              $\dot{W}_{tot}$     electrical power    kW
#Ptot        Total_Unit_Pwr (kW)                 $\dot{W}_{tot}$     electrical power    kW
#Tws        Air Temperature (Deg)               $T_{ws}$            temperature         degC
#RHws       Rel Humidity (%RH)                  $\phi_{ws}$         relative humidity   pct
